Page,Image_Source_Tier,Filename,Layer1_Alt_Geographic,Rendered_Alt_Template,EXIF_GeoTag,License,Source,Attribution_Note
/areas/moncton,flag,moncton-greater-moncton-southeast-nb.webp,"Moncton, Westmorland County, New Brunswick — tidal Petitcodiac River bend and the Moncton sub-basin lowlands","{SERVICE_CATEGORY} in Moncton, New Brunswick — Moncton, Westmorland County, New Brunswick — tidal Petitcodiac River bend and the Moncton sub-basin lowlands","46.09948,-64.79980 (Moncton)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/saint-john,flag,saint-john-fundy-saint-john-nb.webp,"Saint John, Saint John County, New Brunswick — Bay of Fundy harbour at the mouth of the Saint John River, wrapped in marine fog","{SERVICE_CATEGORY} in Saint John, New Brunswick — Saint John, Saint John County, New Brunswick — Bay of Fundy harbour at the mouth of the Saint John River, wrapped in marine fog","45.25917,-66.03889 (Saint John)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/dieppe,flag,dieppe-greater-moncton-southeast-nb.webp,"Dieppe, Westmorland County, New Brunswick — flat sandstone lowlands between the Petitcodiac River and the Northumberland Strait road corridor","{SERVICE_CATEGORY} in Dieppe, New Brunswick — Dieppe, Westmorland County, New Brunswick — flat sandstone lowlands between the Petitcodiac River and the Northumberland Strait road corridor","46.07833,-64.68861 (Dieppe)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/fredericton,flag,fredericton-capital-river-valley-nb.webp,"Fredericton, York County, New Brunswick — Saint John River (Wolastoq) valley flats with flood-aware riverfront neighbourhoods","{SERVICE_CATEGORY} in Fredericton, New Brunswick — Fredericton, York County, New Brunswick — Saint John River (Wolastoq) valley flats with flood-aware riverfront neighbourhoods","45.94528,-66.66667 (Fredericton)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/riverview,flag,riverview-greater-moncton-southeast-nb.webp,"Riverview, Albert County, New Brunswick — south bank of the tidal Petitcodiac River, backed by Albert County marsh and woodland","{SERVICE_CATEGORY} in Riverview, New Brunswick — Riverview, Albert County, New Brunswick — south bank of the tidal Petitcodiac River, backed by Albert County marsh and woodland","46.05444,-64.81722 (Riverview)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/miramichi,flag,miramichi-miramichi-river-nb.webp,"Miramichi, Northumberland County, New Brunswick — twin historic town sites facing each other across the broad Miramichi River","{SERVICE_CATEGORY} in Miramichi, New Brunswick — Miramichi, Northumberland County, New Brunswick — twin historic town sites facing each other across the broad Miramichi River","47.03677,-65.17910 (Miramichi)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/quispamsis,flag,quispamsis-fundy-saint-john-nb.webp,"Quispamsis, Kings County, New Brunswick — coves and low hills on the Kennebecasis River northeast of Saint John","{SERVICE_CATEGORY} in Quispamsis, New Brunswick — Quispamsis, Kings County, New Brunswick — coves and low hills on the Kennebecasis River northeast of Saint John","45.44574,-65.92874 (Quispamsis)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/rothesay,flag,rothesay-fundy-saint-john-nb.webp,"Rothesay, Kings County, New Brunswick — west-facing Kennebecasis riverfront with mature estate lots","{SERVICE_CATEGORY} in Rothesay, New Brunswick — Rothesay, Kings County, New Brunswick — west-facing Kennebecasis riverfront with mature estate lots","45.38028,-65.96861 (Rothesay)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/tracadie,flag,tracadie-acadian-peninsula-chaleur-nb.webp,"Tracadie, Gloucester County, New Brunswick — low Gulf-shore coast at the Tracadie River mouth, fringed with beaches and peat bogs","{SERVICE_CATEGORY} in Tracadie, New Brunswick — Tracadie, Gloucester County, New Brunswick — low Gulf-shore coast at the Tracadie River mouth, fringed with beaches and peat bogs","47.51698,-64.91205 (Tracadie)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/shediac,flag,shediac-greater-moncton-southeast-nb.webp,"Shediac, Westmorland County, New Brunswick — warm-water Northumberland Strait beach coast at Shediac Bay","{SERVICE_CATEGORY} in Shediac, New Brunswick — Shediac, Westmorland County, New Brunswick — warm-water Northumberland Strait beach coast at Shediac Bay","46.22127,-64.53977 (Shediac)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/beaubassin-east,flag,beaubassin-east-greater-moncton-southeast-nb.webp,"Beaubassin East / Beaubassin-est, Westmorland County, New Brunswick — barrier-beach and salt-marsh shore of the Northumberland Strait","{SERVICE_CATEGORY} in Beaubassin East / Beaubassin-est, New Brunswick — Beaubassin East / Beaubassin-est, Westmorland County, New Brunswick — barrier-beach and salt-marsh shore of the Northumberland Strait","46.20067,-64.34032 (Beaubassin East / Beaubassin-est)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/bathurst,flag,bathurst-acadian-peninsula-chaleur-nb.webp,"Bathurst, Gloucester County, New Brunswick — sheltered harbour where the Nepisiguit River meets Chaleur Bay","{SERVICE_CATEGORY} in Bathurst, New Brunswick — Bathurst, Gloucester County, New Brunswick — sheltered harbour where the Nepisiguit River meets Chaleur Bay","47.62611,-65.62833 (Bathurst)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/sackville,flag,sackville-greater-moncton-southeast-nb.webp,"Sackville, Westmorland County, New Brunswick — edge of the vast Tantramar marshland at the head of the Bay of Fundy","{SERVICE_CATEGORY} in Sackville, New Brunswick — Sackville, Westmorland County, New Brunswick — edge of the vast Tantramar marshland at the head of the Bay of Fundy","45.91861,-64.38583 (Sackville)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/oromocto,flag,oromocto-capital-river-valley-nb.webp,"Oromocto, Sunbury County, New Brunswick — confluence of the Oromocto and Saint John rivers beside CFB Gagetown","{SERVICE_CATEGORY} in Oromocto, New Brunswick — Oromocto, Sunbury County, New Brunswick — confluence of the Oromocto and Saint John rivers beside CFB Gagetown","45.84760,-66.47085 (Oromocto)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/memramcook,flag,memramcook-greater-moncton-southeast-nb.webp,"Memramcook, Westmorland County, New Brunswick — sheltered agricultural valley of the tidal Memramcook River","{SERVICE_CATEGORY} in Memramcook, New Brunswick — Memramcook, Westmorland County, New Brunswick — sheltered agricultural valley of the tidal Memramcook River","45.97083,-64.59333 (Memramcook)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/edmundston,flag,edmundston-northwest-madawaska-nb.webp,"Edmundston, Madawaska County, New Brunswick — Appalachian valley at the junction of the Madawaska and Saint John rivers, on the Quebec–Maine border","{SERVICE_CATEGORY} in Edmundston, New Brunswick — Edmundston, Madawaska County, New Brunswick — Appalachian valley at the junction of the Madawaska and Saint John rivers, on the Quebec–Maine border","47.37722,-68.29444 (Edmundston)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/grand-bay-westfield,flag,grand-bay-westfield-fundy-saint-john-nb.webp,"Grand Bay-Westfield, Kings County, New Brunswick — wooded shoreline where the Saint John River opens into Grand Bay","{SERVICE_CATEGORY} in Grand Bay-Westfield, New Brunswick — Grand Bay-Westfield, Kings County, New Brunswick — wooded shoreline where the Saint John River opens into Grand Bay","45.34056,-66.25389 (Grand Bay-Westfield)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/campbellton,flag,campbellton-restigouche-chaleur-nb.webp,"Campbellton, Restigouche County, New Brunswick — foot of Sugarloaf Mountain on the Restigouche River estuary","{SERVICE_CATEGORY} in Campbellton, New Brunswick — Campbellton, Restigouche County, New Brunswick — foot of Sugarloaf Mountain on the Restigouche River estuary","47.99934,-66.68351 (Campbellton)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/hampton,flag,hampton-fundy-saint-john-nb.webp,"Hampton, Kings County, New Brunswick — low marshland bend of the Kennebecasis River","{SERVICE_CATEGORY} in Hampton, New Brunswick — Hampton, Kings County, New Brunswick — low marshland bend of the Kennebecasis River","45.52861,-65.85472 (Hampton)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/woodstock,flag,woodstock-capital-river-valley-nb.webp,"Woodstock, Carleton County, New Brunswick — confluence of the Meduxnekeag and Saint John rivers in the upper valley","{SERVICE_CATEGORY} in Woodstock, New Brunswick — Woodstock, Carleton County, New Brunswick — confluence of the Meduxnekeag and Saint John rivers in the upper valley","46.15222,-67.59833 (Woodstock)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/cocagne,flag,cocagne-greater-moncton-southeast-nb.webp,"Cocagne, Kent County, New Brunswick — sheltered estuary where the Cocagne River meets the Strait","{SERVICE_CATEGORY} in Cocagne, New Brunswick — Cocagne, Kent County, New Brunswick — sheltered estuary where the Cocagne River meets the Strait","46.33494,-64.61504 (Cocagne)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/sussex,flag,sussex-fundy-saint-john-nb.webp,"Sussex, Kings County, New Brunswick — broad dairy-farm valley of the upper Kennebecasis River","{SERVICE_CATEGORY} in Sussex, New Brunswick — Sussex, Kings County, New Brunswick — broad dairy-farm valley of the upper Kennebecasis River","45.72353,-65.51039 (Sussex)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/bouctouche,flag,bouctouche-greater-moncton-southeast-nb.webp,"Bouctouche, Kent County, New Brunswick — harbour behind the great sand dune of Bouctouche Bay","{SERVICE_CATEGORY} in Bouctouche, New Brunswick — Bouctouche, Kent County, New Brunswick — harbour behind the great sand dune of Bouctouche Bay","46.46833,-64.74028 (Bouctouche)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/hanwell,flag,hanwell-capital-river-valley-nb.webp,"Hanwell, York County, New Brunswick — wooded upland corridor along Route 640 southwest of Fredericton","{SERVICE_CATEGORY} in Hanwell, New Brunswick — Hanwell, York County, New Brunswick — wooded upland corridor along Route 640 southwest of Fredericton","45.85100,-66.80400 (Hanwell)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/st-stephen,flag,st-stephen-fundy-saint-john-nb.webp,"St. Stephen, Charlotte County, New Brunswick — St. Croix River border crossing to Maine","{SERVICE_CATEGORY} in St. Stephen, New Brunswick — St. Stephen, Charlotte County, New Brunswick — St. Croix River border crossing to Maine","45.18028,-67.29639 (St. Stephen)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/grand-falls,flag,grand-falls-northwest-madawaska-nb.webp,"Grand Falls / Grand-Sault, Victoria County, New Brunswick — gorge and cataract of the Saint John River","{SERVICE_CATEGORY} in Grand Falls / Grand-Sault, New Brunswick — Grand Falls / Grand-Sault, Victoria County, New Brunswick — gorge and cataract of the Saint John River","47.05250,-67.73500 (Grand Falls / Grand-Sault)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/salisbury,flag,salisbury-greater-moncton-southeast-nb.webp,"Salisbury, Westmorland County, New Brunswick — upper Petitcodiac River valley farmland","{SERVICE_CATEGORY} in Salisbury, New Brunswick — Salisbury, Westmorland County, New Brunswick — upper Petitcodiac River valley farmland","46.02885,-65.04329 (Salisbury)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/saint-andrews,flag,saint-andrews-fundy-saint-john-nb.webp,"Saint Andrews, Charlotte County, New Brunswick — Passamaquoddy Bay peninsula with a Loyalist-era grid","{SERVICE_CATEGORY} in Saint Andrews, New Brunswick — Saint Andrews, Charlotte County, New Brunswick — Passamaquoddy Bay peninsula with a Loyalist-era grid","45.07991,-67.05837 (Saint Andrews)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/st-george,flag,st-george-fundy-saint-john-nb.webp,"St. George, Charlotte County, New Brunswick — granite gorge of the Magaguadavic River","{SERVICE_CATEGORY} in St. George, New Brunswick — St. George, Charlotte County, New Brunswick — granite gorge of the Magaguadavic River","45.13201,-66.82023 (St. George)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/richibucto,flag,richibucto-greater-moncton-southeast-nb.webp,"Richibucto, Kent County, New Brunswick — estuary port at the mouth of the Richibucto River","{SERVICE_CATEGORY} in Richibucto, New Brunswick — Richibucto, Kent County, New Brunswick — estuary port at the mouth of the Richibucto River","46.68107,-64.86895 (Richibucto)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/cap-pele,flag,cap-pele-greater-moncton-southeast-nb.webp,"Cap-Pelé, Westmorland County, New Brunswick — smokehouse-lined shore of the Northumberland Strait","{SERVICE_CATEGORY} in Cap-Pelé, New Brunswick — Cap-Pelé, Westmorland County, New Brunswick — smokehouse-lined shore of the Northumberland Strait","46.21667,-64.26667 (Cap-Pelé)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/new-maryland,flag,new-maryland-capital-river-valley-nb.webp,"New Maryland, York County, New Brunswick — upland plateau just south of Fredericton","{SERVICE_CATEGORY} in New Maryland, New Brunswick — New Maryland, York County, New Brunswick — upland plateau just south of Fredericton","45.87917,-66.66944 (New Maryland)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/saint-antoine,flag,saint-antoine-greater-moncton-southeast-nb.webp,"Saint-Antoine, Kent County, New Brunswick — inland Kent County farm and forest country","{SERVICE_CATEGORY} in Saint-Antoine, New Brunswick — Saint-Antoine, Kent County, New Brunswick — inland Kent County farm and forest country","46.36286,-64.75264 (Saint-Antoine)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/hillsborough,flag,hillsborough-greater-moncton-southeast-nb.webp,"Hillsborough, Albert County, New Brunswick — gypsum hills over the tidal Petitcodiac","{SERVICE_CATEGORY} in Hillsborough, New Brunswick — Hillsborough, Albert County, New Brunswick — gypsum hills over the tidal Petitcodiac","45.92225,-64.64536 (Hillsborough)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
/areas/petitcodiac,flag,petitcodiac-greater-moncton-southeast-nb.webp,"Petitcodiac, Westmorland County, New Brunswick — headwater valley of the Petitcodiac River","{SERVICE_CATEGORY} in Petitcodiac, New Brunswick — Petitcodiac, Westmorland County, New Brunswick — headwater valley of the Petitcodiac River","45.93022,-65.16805 (Petitcodiac)",Public Domain,Wikimedia Commons — Flag of New Brunswick,"Flag used as province-tier fallback; ALL metadata describes the place, never the flag. Upgrade path: verified CC0/Unsplash photo of the place."
